Grupo  ,Subgrupo,Nombre ,Energía,Humedad,Proteína,Grasa,Carbohidratos,Fibra cruda,Ceniza,Calcio (Ca),Fósforo (P),Hierro (Fe),Vit A,Tiamina (B1),Riboflavina (B2),Niacina (B3),Vit C
Grupo  ,Subgrupo,del alimento,Kcal,gr,gr,gr,gr,gr,gr,mg,mg,mg,ug,mg,mg,mg,mg
Leguminosas,Leguminosas,Haba seca con cáscara,360,9.04,24.01,1.4,62.77,5.4,2.78,87.8,385,8.7,0,0.39,0.28,3.44,0
Leguminosas,Leguminosas,Haba seca sin cáscara,382,4.99,25.04,2.76,64.32,2.67,2.89,88.8,265,9.91,0,0.36,0.26,2.4,0
Leguminosas,Leguminosas,Haba seca sin cáscara cocida,120,70.8,7.24,0.8,21.07,0.8,0.89,63,57,0.9,0,0.01,0.02,0.75,0
Leguminosas,Leguminosas,Haba tostada salada,417,3.81,24.14,9.61,58.37,2.31,4.07,87.9,234.6,8.59,0,0.15,0.42,2.81,0
Leguminosas,Leguminosas,Harina de habas,377,6.8,21.82,2.03,67.75,1.9,1.6,85,255,9.6,1.4,0.35,0.3,2.68,0
Leguminosas,Leguminosas,Lenteja,357,8.9,24.06,0.89,63.26,5.26,2.89,67,356,3.76,0,0.22,0.31,1.87,0
Leguminosas,Leguminosas,Maní con cascarilla variedad perla,585,5.49,24.39,43.7,23.65,3.18,2.77,55,440,4.7,0,0.49,0.16,7.12,0
Leguminosas,Leguminosas,Maní sin cascarilla variedad perla,585,5.42,24.44,43.47,24.05,2.69,2.62,57,478,3.4,0,0.48,0.12,6.5,0
Leguminosas,Leguminosas,Maní tostado variedad perla,599,3.96,24.28,45.36,23.5,3.68,2.9,58.3,530,3.26,0,0.23,0.25,7.4,0
Leguminosas,Leguminosas,Maní variedad pintadito,592,4.89,27.14,44.48,20.7,5.24,2.79,70,532,4.7,0,0.62,0.19,9.75,0
Leguminosas,Leguminosas,Maní mantequilla de,611,0.55,31.34,44.57,21.1,0,2.44,85,1481,7.7,6,0.07,0.14,4.45,0
Leguminosas,Leguminosas,Poroto tostado variedad copuru,363,7.88,23.42,1.6,63.62,4.12,3.48,162,251,6.9,0,0.16,0.18,1.62,0
Leguminosas,Leguminosas,Poroto variedad colorado,349,11.23,23.01,1.56,60.76,5.24,3.44,88.5,267.8,7.59,4.4,0.49,0.17,2.05,0
Leguminosas,Leguminosas,Poroto blanco variedad carnavalia,242,9.66,23.36,2.65,31.25,6.42,3.08,124.5,340,8.98,0,0.58,0.16,1.6,0
Leguminosas,Leguminosas,Poroto variedad cumanda cacao,344,11.28,22.91,0.7,61.54,6.02,3.57,116,398,8.8,32,0,0,3.3,0
Leguminosas,Leguminosas,Poroto variedad cumanda guiraya,360,8.51,23.2,1.61,63.29,6.34,3.39,101,370,9.9,37,0,0,2.47,0
Leguminosas,Leguminosas,Poroto variedad cumanda negra,351,9,21.03,0.52,65.45,7.41,4,148,242,10.1,14,0,0,2.58,0
Leguminosas,Leguminosas,Poroto variedad cumanda blanca,351,9.88,23.11,0.91,62.65,6.38,3.45,101,502,9.4,8,0,0,3.85,0
Leguminosas,Leguminosas,Poroto variedad ombligo negro,358,8.02,24.44,0.75,63.26,6.57,3.53,101,302,12,0,0,0,1.87,0
Leguminosas,Leguminosas,Soya variedad otootan,440,7.52,82.62,18.12,36.63,6.31,5.11,365,706,12,0,0.56,0.29,2.44,0
Leguminosas,Leguminosas,Soya variedad acadian,438,8.89,34.03,18.8,33.18,6.38,5.1,271,645,11.5,0,0.39,0.27,1.87,0
Leguminosas,Leguminosas,Tarhui variedad blanca gigante,417,6.7,17.34,10.5,63.36,7.51,2.1,58.2,268,2.31,0,0.05,0.24,2.24,0
Leguminosas,Leguminosas,Tarhui variedad ombligo negro,434,5,17.4,12.3,63.35,7.5,1.95,54.2,271,2.1,0,0.05,0.28,2.26,0
Leguminosas,Leguminosas,Tarhui crudo con cáscara,424,7.2,15.3,12.02,63.7,5.4,1.78,54.8,289.3,1.98,0,0.04,0.26,2.25,0
Leguminosas,Leguminosas,Tarhui cocido con cáscara,182,64.1,11.9,8.94,13.36,5.3,1.7,49.2,127,1.2,0,0.02,0.12,1.24,0
Leguminosas,Leguminosas,Tarhui seco sin cáscara,440,5.2,16.3,14.02,62.09,7.54,2.39,98,258,1.89,0,0.04,0.52,2,0
Leguminosas,Leguminosas,Tarhui tierno,117,72.22,11,2.04,13.78,4.28,0.96,103,91,1.25,4.4,0.02,0.14,1.04,0
Leguminosas,Leguminosas,Tarhui harina,403,4.48,10.66,6.32,75.76,3.24,2.78,215,280,2.4,0,0.06,0.32,2.14,0
,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,
